0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.0,0.2,0.2,0.7,3.5,3.5,6.3,14.9,14.9,20.5,26.5,32.4,38.1,43.3,47.8,51.8,55.2,58.1,60.6,62.7,64.6,66.3,67.7,69.1,70.3,71.4,72.5,73.4,75.2,76.0,76.0,76.7,77.4,78.7,79.3,79.3,79.9,80.4,80.9,81.8,81.8,82.3,82.7,83.1,83.5,83.8,84.2,84.5,84.8
0.0,0.1,0.1,0.3,1.6,1.6,2.9,7.6,7.6,10.9,14.9,19.4,24.2,29.2,34.0,38.5,42.8,46.6,50.0,53.0,55.7,58.0,60.1,61.9,63.6,65.1,66.4,67.6,69.8,70.7,70.7,71.6,72.5,74.0,74.7,74.7,75.4,76.0,76.7,77.8,77.8,78.3,78.8,79.3,79.8,80.2,80.6,81.0,81.4
0.0,0.1,0.1,0.2,0.9,0.9,1.7,4.5,4.5,6.6,9.3,12.5,16.1,20.1,24.2,28.5,32.7,36.7,40.6,44.1,47.3,50.2,52.8,55.2,57.3,59.2,60.9,62.4,65.1,66.2,66.2,67.3,68.3,70.1,70.9,70.9,71.7,72.4,73.1,74.4,74.4,75.0,75.6,76.1,76.7,77.2,77.6,78.1,78.6
0.0,0.0,0.0,0.1,0.6,0.6,1.1,2.9,2.9,4.4,6.2,8.5,11.2,14.3,17.7,21.4,25.1,28.9,32.7,36.3,39.8,43.0,46.0,48.7,51.2,53.5,55.5,57.4,60.6,62.0,62.0,63.3,64.5,66.6,67.5,67.5,68.4,69.2,70.0,71.4,71.4,72.1,72.7,73.4,73.9,74.5,75.0,75.6,76.0
0.0,0.0,0.0,0.1,0.4,0.4,0.8,2.1,2.1,3.1,4.5,6.2,8.2,10.6,13.3,16.4,19.6,23.0,26.5,29.9,33.3,36.6,39.8,42.7,45.5,48.0,50.4,52.5,56.3,57.9,57.9,59.4,60.8,63.2,64.3,64.3,65.3,66.3,67.2,68.8,68.8,69.5,70.2,70.9,71.5,72.1,72.7,73.3,73.8
0.0,0.0,0.0,0.1,0.3,0.3,0.6,1.5,1.5,2.3,3.3,4.6,6.2,8.1,10.3,12.8,15.6,18.5,21.6,24.8,28.0,31.2,34.3,37.4,40.2,42.9,45.5,47.9,52.1,53.9,53.9,55.6,57.2,60.0,61.2,61.2,62.4,63.5,64.4,66.2,66.2,67.1,67.8,68.6,69.3,69.9,70.6,71.2,71.7
0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.2,1.2,1.8,2.6,3.6,4.9,6.4,8.2,10.3,12.6,15.1,17.8,20.7,23.7,26.7,29.7,32.6,35.5,38.3,41.0,43.5,48.0,50.1,50.1,51.9,53.7,56.8,58.2,58.2,59.5,60.7,61.8,63.8,63.8,64.7,65.6,66.4,67.1,67.9,68.5,69.2,69.8
0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.9,0.9,1.4,2.1,2.9,3.9,5.2,6.6,8.4,10.3,12.5,14.9,17.4,20.1,22.9,25.7,28.6,31.4,34.1,36.8,39.4,44.1,46.3,46.3,48.4,50.3,53.7,55.2,55.2,56.7,58.0,59.2,61.4,61.4,62.4,63.4,64.3,65.1,65.9,66.6,67.3,68.0
0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.8,0.8,1.2,1.7,2.4,3.2,4.2,5.5,6.9,8.6,10.5,12.6,14.8,17.2,19.8,22.4,25.1,27.8,30.5,33.1,35.7,40.5,42.8,42.8,45.0,47.0,50.7,52.3,52.3,53.9,55.3,56.7,59.1,59.1,60.2,61.2,62.2,63.1,64.0,64.8,65.5,66.3
0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.6,0.6,1.0,1.4,2.0,2.7,3.5,4.6,5.8,7.3,8.9,10.7,12.7,14.9,17.2,19.6,22.1,24.6,27.2,29.8,32.3,37.2,39.5,39.5,41.7,43.8,47.7,49.5,49.5,51.1,52.7,54.2,56.8,56.8,58.0,59.1,60.2,61.1,62.1,62.9,63.8,64.5
0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.5,0.5,0.8,1.2,1.7,2.3,3.0,3.9,5.0,6.2,7.6,9.2,11.0,13.0,15.0,17.2,19.5,21.9,24.4,26.8,29.3,34.1,36.4,36.4,38.7,40.8,44.9,46.7,46.7,48.5,50.1,51.7,54.5,54.5,55.8,57.0,58.1,59.2,60.2,61.1,62.0,62.9
0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.5,0.5,0.7,1.0,1.4,1.9,2.6,3.4,4.3,5.4,6.6,8.0,9.6,11.3,13.2,15.2,17.4,19.6,21.9,24.2,26.6,31.3,33.6,33.6,35.8,38.0,42.1,44.1,44.1,45.9,47.6,49.3,52.3,52.3,53.6,54.9,56.1,57.3,58.4,59.4,60.3,61.2
