0,1,2,3,4,5,6,7,8,9
0.072,24.036,46.049,56.493,61.972,65.36,67.718,69.486,70.873,71.991
0.0,0.263,0.988,2.145,3.688,5.561,7.701,10.043,12.524,15.086
0.001,0.073,0.274,0.601,1.051,1.617,2.295,3.076,3.953,4.918
0.001,0.034,0.127,0.278,0.487,0.753,1.073,1.447,1.873,2.349
0.001,0.019,0.073,0.16,0.28,0.433,0.619,0.836,1.085,1.364
0.001,0.012,0.047,0.104,0.182,0.281,0.402,0.544,0.706,0.889
0.001,0.009,0.033,0.073,0.128,0.197,0.282,0.382,0.496,0.625
0.001,0.006,0.024,0.054,0.094,0.146,0.209,0.283,0.368,0.463
0.001,0.005,0.019,0.042,0.073,0.113,0.161,0.218,0.283,0.357
0.001,0.004,0.015,0.033,0.058,0.089,0.128,0.173,0.225,0.284
